,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
0,Maruti,Mumbai,2010,72000.0,CNG,Manual,First,37.24,998.0,58.16,5.0,1.75
1,Hyundai,Pune,2015,41000.0,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5
2,Honda,Chennai,2011,46000.0,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.5
3,Maruti,Chennai,2012,87000.0,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0
4,Audi,Coimbatore,2013,40670.0,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74
5,Hyundai,Hyderabad,2012,75000.0,LPG,Manual,First,29.54,814.0,55.2,5.0,2.35
6,Nissan,Jaipur,2013,86999.0,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5
7,Toyota,Mumbai,2016,36000.0,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5
8,Volkswagen,Pune,2013,64430.0,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2
9,Tata,Chennai,2012,65932.0,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95
10,Maruti,Kochi,2018,25692.0,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95
11,Honda,Kolkata,2012,60000.0,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49
12,Maruti,Jaipur,2015,64424.0,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6
13,Land,Delhi,2014,72000.0,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0
14,Land,Pune,2012,85000.0,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,17.5
15,Mitsubishi,Delhi,2014,110000.0,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0
16,Honda,Kochi,2016,58950.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4
17,Maruti,Jaipur,2017,25000.0,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99
18,Renault,Kochi,2014,77469.0,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34
19,Mercedes-Benz,Bangalore,2014,78500.0,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0
20,BMW,Kochi,2014,32982.0,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55
21,Maruti,Bangalore,2015,55392.0,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25
22,Audi,Mumbai,2015,55985.0,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5
23,Hyundai,Kolkata,2010,45807.0,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87
24,Volkswagen,Kolkata,2010,33000.0,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85
25,Honda,Mumbai,2012,51920.0,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25
26,Nissan,Hyderabad,2012,54000.0,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25
27,Maruti,Hyderabad,2013,54000.0,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75
28,Honda,Kochi,2018,37430.0,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9
29,Toyota,Mumbai,2007,262000.0,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4.0
30,Renault,Bangalore,2013,62000.0,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75
31,Toyota,Delhi,2012,87615.0,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75
